method,profile_type,T0,run_id,seed,hv,pareto_size,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,child,300,1,43,0.002520,100,0.579901,0.005525,0.107603,1.000000,10.813451
SA_MOEAD,child,300,2,44,0.005180,100,0.551101,0.033225,0.137453,0.470000,25.846054
SA_MOEAD,child,300,3,45,0.006424,100,0.559277,0.032550,0.135429,0.780000,20.827779
SA_MOEAD,child,300,4,46,0.010071,90,0.548744,0.040694,0.131220,0.966667,13.526103
SA_MOEAD,child,300,5,47,0.005131,95,0.531183,0.038184,0.129745,0.557895,24.095520
SA_MOEAD,child,300,6,48,0.005153,94,0.553054,0.034255,0.138369,0.670213,21.770780
SA_MOEAD,child,300,7,49,0.006870,90,0.560677,0.055778,0.127547,0.400000,34.081124
SA_MOEAD,child,300,8,50,0.013334,90,0.569778,0.049417,0.083696,1.000000,11.467414
SA_MOEAD,child,300,9,51,0.004066,100,0.556184,0.008000,0.098279,1.000000,11.142196
SA_MOEAD,child,300,10,52,0.006066,99,0.559867,0.033889,0.085188,1.000000,12.884967
SA_MOEAD,child,300,11,53,0.007235,99,0.561281,0.045000,0.126376,0.535354,27.763557
SA_MOEAD,child,300,12,54,0.004686,96,0.535471,0.017500,0.105890,0.875000,25.400726
SA_MOEAD,child,300,13,55,0.004758,89,0.543489,0.015281,0.098921,0.898876,19.395024
SA_MOEAD,child,300,14,56,0.004143,98,0.567760,0.026429,0.108538,0.357143,31.518593
SA_MOEAD,child,300,15,57,0.007852,74,0.554517,0.055068,0.155215,0.500000,29.194039
SA_MOEAD,child,300,16,58,0.005867,99,0.557189,0.040429,0.120333,1.000000,14.756110
SA_MOEAD,child,300,17,59,0.003409,82,0.521455,0.023305,0.101322,0.695122,26.994287
SA_MOEAD,child,300,18,60,0.008430,91,0.568697,0.057198,0.142715,0.362637,32.801924
SA_MOEAD,child,300,19,61,0.008117,78,0.557999,0.028910,0.139473,1.000000,12.513237
SA_MOEAD,child,300,20,62,0.005197,96,0.520893,0.015938,0.108202,0.958333,28.231172
SA_MOEAD,child,300,21,63,0.009137,100,0.574230,0.064100,0.129645,0.630000,20.650101
SA_MOEAD,child,300,22,64,0.001952,100,0.576292,0.024000,0.150458,1.000000,11.068971
SA_MOEAD,child,300,23,65,0.007563,97,0.558441,0.042536,0.143755,0.422680,34.395545
SA_MOEAD,child,300,24,66,0.007374,92,0.569080,0.052011,0.130963,0.434783,26.511265
SA_MOEAD,child,300,25,67,0.002401,92,0.548904,0.011223,0.092434,1.000000,10.202134
SA_MOEAD,child,300,26,68,0.008618,100,0.629325,0.034350,0.129022,1.000000,9.584382
