method,profile_type,T0,run_id,seed,hv,pareto_size,pareto_feas,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,child,300,1,43,0.044977,100,100,0.579901,0.005525,0.107603,1.000000,10.869621
SA_MOEAD,child,300,2,44,0.048381,100,47,0.483315,0.026436,0.176618,0.470000,26.035312
SA_MOEAD,child,300,3,45,0.053540,100,78,0.546667,0.012821,0.135520,0.780000,20.838620
SA_MOEAD,child,300,4,46,0.048934,90,87,0.546839,0.040632,0.133534,0.966667,13.340264
SA_MOEAD,child,300,5,47,0.047919,95,53,0.487387,0.024670,0.167103,0.557895,24.381879
SA_MOEAD,child,300,6,48,0.053201,94,63,0.520743,0.017897,0.144401,0.670213,21.780492
SA_MOEAD,child,300,7,49,0.048385,90,36,0.489819,0.022222,0.158873,0.400000,33.986271
SA_MOEAD,child,300,8,50,0.045503,90,90,0.569778,0.049417,0.083696,1.000000,11.422685
SA_MOEAD,child,300,9,51,0.043042,100,100,0.556184,0.008000,0.098279,1.000000,11.142368
SA_MOEAD,child,300,10,52,0.044076,99,99,0.559867,0.033889,0.085188,1.000000,12.949355
SA_MOEAD,child,300,11,53,0.051334,99,53,0.511429,0.017170,0.136226,0.535354,28.053051
SA_MOEAD,child,300,12,54,0.043177,96,84,0.524806,0.012440,0.112000,0.875000,25.702103
SA_MOEAD,child,300,13,55,0.043106,89,80,0.535762,0.010906,0.103088,0.898876,19.565873
SA_MOEAD,child,300,14,56,0.041649,98,35,0.489924,0.016143,0.133230,0.357143,31.924426
SA_MOEAD,child,300,15,57,0.050946,74,37,0.490316,0.023041,0.150920,0.500000,29.653529
SA_MOEAD,child,300,16,58,0.052685,99,99,0.557189,0.040429,0.120333,1.000000,14.948255
SA_MOEAD,child,300,17,59,0.040607,82,57,0.483810,0.015088,0.119719,0.695122,27.458298
SA_MOEAD,child,300,18,60,0.050698,91,33,0.488368,0.024697,0.161796,0.362637,33.223225
SA_MOEAD,child,300,19,61,0.055051,78,78,0.557999,0.028910,0.139473,1.000000,12.655440
SA_MOEAD,child,300,20,62,0.043490,96,92,0.517280,0.013696,0.111466,0.958333,28.588874
SA_MOEAD,child,300,21,63,0.052822,100,63,0.548101,0.026865,0.134746,0.630000,20.910919
SA_MOEAD,child,300,22,64,0.054003,100,100,0.576292,0.024000,0.150458,1.000000,11.190759
SA_MOEAD,child,300,23,65,0.050712,97,41,0.486675,0.022683,0.165577,0.422680,35.025024
SA_MOEAD,child,300,24,66,0.052529,92,40,0.509706,0.022000,0.159774,0.434783,26.950759
SA_MOEAD,child,300,25,67,0.042641,92,92,0.548904,0.011223,0.092434,1.000000,10.321140
SA_MOEAD,child,300,26,68,0.055940,100,100,0.629325,0.034350,0.129022,1.000000,9.695437
SA_MOEAD,child,300,27,69,0.040443,100,68,0.486894,0.015772,0.120083,0.680000,25.053518
SA_MOEAD,child,300,28,70,0.054105,98,89,0.544234,0.026854,0.129992,0.908163,20.085719
SA_MOEAD,child,300,29,71,0.057441,100,68,0.546578,0.017059,0.179914,0.680000,20.103314
SA_MOEAD,child,300,30,72,0.040402,99,68,0.479962,0.015846,0.123205,0.686869,25.323426
SA_MOEAD,child,600,1,43,0.041109,97,97,0.534127,0.020438,0.104510,1.000000,20.874522
SA_MOEAD,child,600,2,44,0.040722,93,84,0.512267,0.011310,0.125944,0.903226,32.860654
SA_MOEAD,child,600,3,45,0.038472,80,71,0.495784,0.008239,0.108446,0.887500,43.975625
SA_MOEAD,child,600,4,46,0.039339,89,89,0.555282,0.041489,0.084250,1.000000,23.833229
SA_MOEAD,child,600,5,47,0.043262,84,84,0.557908,0.016488,0.105886,1.000000,17.984725
SA_MOEAD,child,600,6,48,0.046618,95,95,0.535137,0.009132,0.134627,1.000000,23.515828
SA_MOEAD,child,600,7,49,0.040003,97,97,0.507626,0.019562,0.113443,1.000000,15.258020
SA_MOEAD,child,600,8,50,0.052243,93,93,0.518806,0.008118,0.131935,1.000000,12.066207
SA_MOEAD,child,600,9,51,0.040651,92,92,0.528889,0.017948,0.104529,1.000000,11.043208
SA_MOEAD,child,600,10,52,0.039748,91,91,0.521588,0.009505,0.110194,1.000000,26.213612
SA_MOEAD,child,600,11,53,0.042106,89,89,0.540013,0.010660,0.112905,1.000000,23.555205
SA_MOEAD,child,600,12,54,0.049714,80,80,0.526049,0.008703,0.130995,1.000000,14.614018
SA_MOEAD,child,600,13,55,0.041697,96,96,0.532402,0.024010,0.103441,1.000000,19.858201
SA_MOEAD,child,600,14,56,0.047896,95,95,0.543550,0.014487,0.125726,1.000000,15.653765
